date,Open,High,Low,Close,Volume,TimeDelta,DT
2018-09-21 09:30:00,293.12,293.12,292.9,293.02,3490705.0,45000.0,2018-09-21 09:30:00
2018-09-21 09:31:00,293.04,293.05,292.92,292.9432,325755.0,45000.0,2018-09-21 09:31:00
2018-09-21 09:32:00,292.95,292.95,292.84,292.9,435737.0,45000.0,2018-09-21 09:32:00
2018-09-21 09:33:00,292.91,293.01,292.87,292.98,254316.0,45000.0,2018-09-21 09:33:00
2018-09-21 09:34:00,292.99,293.01,292.94,292.94,295141.0,45000.0,2018-09-21 09:34:00
2018-09-21 09:35:00,292.945,293.05,292.945,293.045,248872.0,45000.0,2018-09-21 09:35:00
2018-09-21 09:36:00,293.04,293.04,292.94,293.01,233477.0,45000.0,2018-09-21 09:36:00
2018-09-21 09:37:00,293.015,293.16,292.99,292.99,476462.0,45000.0,2018-09-21 09:37:00
2018-09-21 09:38:00,293.0,293.12,292.999,293.11,685746.0,45000.0,2018-09-21 09:38:00
2018-09-21 09:39:00,293.12,293.14,293.08,293.095,238749.0,45000.0,2018-09-21 09:39:00
2018-09-21 09:40:00,293.1101,293.21,293.1,293.1,362933.0,45000.0,2018-09-21 09:40:00
2018-09-21 09:41:00,293.1,293.18,293.09,293.14,147617.0,45000.0,2018-09-21 09:41:00
2018-09-21 09:42:00,293.15,293.15,293.09,293.1,203407.0,45000.0,2018-09-21 09:42:00
2018-09-21 09:43:00,293.1099,293.11,293.01,293.075,163960.0,45000.0,2018-09-21 09:43:00
2018-09-21 09:44:00,293.07,293.11,293.04,293.07,126816.0,45000.0,2018-09-21 09:44:00
2018-09-21 09:45:00,293.105,293.17,293.09,293.15,121550.0,45000.0,2018-09-21 09:45:00
2018-09-21 09:46:00,293.15,293.17,293.1,293.13,187447.0,45000.0,2018-09-21 09:46:00
2018-09-21 09:47:00,293.11,293.21,293.1,293.19,163769.0,45000.0,2018-09-21 09:47:00
2018-09-21 09:48:00,293.2,293.21,293.13,293.18,77389.0,45000.0,2018-09-21 09:48:00
2018-09-21 09:49:00,293.19,293.19,293.09,293.11,119700.0,45000.0,2018-09-21 09:49:00
2018-09-21 09:50:00,293.14,293.15,293.11,293.11,116840.0,45000.0,2018-09-21 09:50:00
2018-09-21 09:51:00,293.125,293.125,293.02,293.045,141899.0,45000.0,2018-09-21 09:51:00
2018-09-21 09:52:00,293.035,293.06,293.0,293.06,244978.0,45000.0,2018-09-21 09:52:00
2018-09-21 09:53:00,293.06,293.06,292.95,292.95,269525.0,45000.0,2018-09-21 09:53:00
2018-09-21 09:54:00,292.95,293.05,292.92,293.01,190992.0,45000.0,2018-09-21 09:54:00
2018-09-21 09:55:00,293.01,293.09,293.01,293.06,166389.0,45000.0,2018-09-21 09:55:00
2018-09-21 09:56:00,293.075,293.08,292.99,293.025,70061.0,45000.0,2018-09-21 09:56:00
2018-09-21 09:57:00,292.99,293.005,292.915,292.93,113868.0,45000.0,2018-09-21 09:57:00
2018-09-21 09:58:00,292.93,292.99,292.93,292.98,165647.0,45000.0,2018-09-21 09:58:00
2018-09-21 09:59:00,292.98,292.98,292.88,292.88,692079.0,45000.0,2018-09-21 09:59:00
2018-09-21 10:00:00,292.875,292.875,292.8101,292.86,513981.0,45000.0,2018-09-21 10:00:00
2018-09-21 10:01:00,292.88,292.96,292.85,292.95,112002.0,45000.0,2018-09-21 10:01:00
2018-09-21 10:02:00,292.94,292.96,292.91,292.93,92057.0,45000.0,2018-09-21 10:02:00
2018-09-21 10:03:00,292.93,292.93,292.82,292.82,74418.0,45000.0,2018-09-21 10:03:00
2018-09-21 10:04:00,292.8375,292.87,292.8,292.8699,157839.0,45000.0,2018-09-21 10:04:00
2018-09-21 10:05:00,292.88,292.96,292.88,292.96,80667.0,45000.0,2018-09-21 10:05:00
2018-09-21 10:06:00,292.945,292.97,292.93,292.95,107731.0,45000.0,2018-09-21 10:06:00
2018-09-21 10:07:00,292.95,293.0,292.95,292.97,94800.0,45000.0,2018-09-21 10:07:00
